PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
Mike James,RB,2009,231,4,0.9065,Miami,Davenport,FL,28.1614046,-81.6017417,2013,6,189,TAM,RB,Miami
Karlos Williams,S,2011,4,5,0.9977,Florida State,Davenport,FL,28.1614046,-81.6017417,2015,5,155,BUF,RB,Florida State
Nick Moody,S,2008,284,4,0.8955,Florida State,Wyncote,PA,40.0908996,-75.14624021,2013,6,180,SFO,LB,Florida State
Brian Schwenke,OG,2009,537,3,0.8715,California,Oceanside,CA,33.1958696,-117.3794834,2013,4,107,TEN,C,California
Dont'a Hightower,OLB,2008,303,4,0.8938,Alabama,Lewisburg,TN,35.4492404,-86.7888887,2012,1,25,NWE,LB,Alabama
Johnny Manziel,DUAL,2011,374,3,0.874,Texas A&M,Kerrville,TX,30.0474332,-99.1403189,2014,1,22,CLE,QB,Texas A&M
James Bradberry,ATH,2011,2350,2,0.7333,Arkansas State,Pleasant Grove,AL,33.4909405,-86.9702714,2016,2,62,CAR,CB,Samford
Kapron Lewis-Moore,SDE,2008,328,4,0.8906,Notre Dame,Weatherford,TX,32.7589648,-97.7970748,2013,6,200,BAL,DE,Notre Dame
Tom Savage,PRO,2009,101,4,0.9532,Rutgers,Springfield,PA,39.9306677,-75.3201879,2014,4,135,HOU,QB,Pittsburgh
Zach Hocker,K,2010,1995,2,0.7931,Arkansas,Russellville,AR,35.2784173,-93.1337856,2014,7,228,WAS,K,Arkansas
Michael Cox,RB,2008,379,3,0.8822,Michigan,Avon,CT,41.8098209,-72.8306541,2013,7,253,NYG,RB,Massachusetts
Khaseem Greene,ATH,2008,1806,2,0.7556,Rutgers,Avon,CT,41.8098209,-72.8306541,2013,4,117,CHI,LB,Rutgers
Tanner Hawkinson,TE,2008,381,3,0.8822,Kansas,Mcpherson,KS,38.3659015,-97.6575171,2013,5,156,CIN,T,Kansas
David Yankey,OT,2010,518,3,0.8733,Stanford,Roswell,GA,34.02332,-84.360022,2014,5,145,MIN,OL,Stanford
D.C. Jefferson,PRO,2008,397,3,0.8795,Rutgers,Winter Haven,FL,28.0222435,-81.7328568,2013,7,219,ARI,TE,Rutgers
Bacarri Rambo,S,2008,399,3,0.8795,Georgia,Donalsonville,GA,31.0404625,-84.8790911,2013,6,191,WAS,DB,Georgia
Blake Bortles,PRO,2010,814,3,0.859,UCF,Oviedo,FL,28.6593925,-81.20469046,2014,1,3,JAX,QB,UCF
Jeff Driskel,DUAL,2011,17,5,0.9916,Florida,Oviedo,FL,28.6593925,-81.20469046,2016,6,207,SFO,QB,Louisiana Tech
Peter Konz,OC,2008,414,3,0.8781,Wisconsin,Neenah,WI,44.1858193,-88.462609,2012,2,55,ATL,C,Wisconsin
Kaleb Ramsey,SDE,2008,434,3,0.8769,Boston College,Uniontown,PA,39.900076,-79.7164326,2014,7,243,SFO,DE,Boston College
Jonathan Martin,OT,2008,459,3,0.8764,Stanford,Studio City,CA,34.1483989,-118.3961877,2012,2,42,MIA,T,Stanford
Jack Crawford,SDE,2008,465,3,0.8733,Penn State,Richland,NJ,39.4917828,-74.8707243,2012,5,158,OAK,DE,Penn State
Jonathan Bullard,SDE,2012,12,5,0.9924,Florida,Shelby,NC,35.2923513,-81.5356463,2016,3,72,CHI,DT,Florida
Alfonzo Dennard,CB,2008,486,3,0.8733,Nebraska,Rochelle,GA,31.9510105,-83.4562744,2012,7,224,NWE,DB,Nebraska
Ifo Ekpre-Olomu,CB,2011,178,4,0.9188,Oregon,Chino Hills,CA,33.9926803,-117.760056,2015,7,241,CLE,CB,Oregon
Tony Steward,OLB,2011,16,5,0.9917,Clemson,Saint Augustine,FL,29.8946952,-81.3145395,2015,6,188,BUF,OLB,Clemson
David Bakhtiari,OT,2009,1750,2,0.7889,Colorado,San Mateo,CA,37.496904,-122.3330573,2013,4,109,GNB,T,Colorado
Steve Beauharnais,OLB,2009,1055,3,0.8448,Rutgers,Montvale,NJ,41.0467635,-74.0229173,2013,7,235,NWE,LB,Rutgers
Riley Reiff,OT,2008,579,3,0.8639,Iowa,Parkston,SD,43.395007,-97.984421,2012,1,23,DET,T,Iowa
Sam Montgomery,WDE,2009,50,4,0.9745,LSU,Greenwood,SC,34.1954001,-82.1617883,2013,3,95,HOU,DE,LSU
D.J. Swearinger,S,2009,398,3,0.8826,South Carolina,Greenwood,SC,34.1954001,-82.1617883,2013,2,57,HOU,DB,South Carolina
T.J. Johnson,OC,2008,635,3,0.859,South Carolina,Aynor,SC,33.9998881,-79.1994874,2013,7,251,CIN,C,South Carolina
Fletcher Cox,DT,2009,157,4,0.9254,Mississippi State,Yazoo City,MS,32.8551326,-90.4056469,2012,1,12,PHI,DT,Mississippi State
John Boyett,S,2008,647,3,0.8569,Oregon,Napa,CA,38.2971367,-122.2855293,2013,6,192,IND,DB,Oregon
Zac Dysert,PRO,2008,674,3,0.8556,Miami (OH),Ada,OH,38.8398935,-83.5051704,2013,7,234,DEN,QB,Miami (OH)
Keshawn Martin,WR,2008,678,3,0.8556,Michigan State,Westland,MI,42.3238056,-83.4005321,2012,4,121,HOU,WR,Michigan State
Jeremy Langford,ATH,2010,1247,3,0.8434,Michigan State,Westland,MI,42.3238056,-83.4005321,2015,4,106,CHI,RB,Michigan State
Alshon Jeffery,WR,2009,110,4,0.9487,South Carolina,Saint Matthews,SC,33.664876,-80.7778681,2012,2,45,CHI,WR,South Carolina
Jake Fisher,OT,2011,335,3,0.8793,Oregon,Traverse City,MI,44.7606441,-85.6165301,2015,2,53,CIN,T,Oregon
Andre Hal,CB,2010,884,3,0.8559,Vanderbilt,Port Allen,LA,21.903552,-159.588089,2014,7,216,HOU,DB,Vanderbilt
Darius Slay,WR,2009,1446,3,0.8146,Mississippi State,Brunswick,GA,31.1499528,-81.4914894,2013,2,36,DET,DB,Mississippi State
Rakeem Nunez-Roches,DT,2011,1276,3,0.8155,Southern Miss,Phenix City,AL,32.4709761,-85.0007653,2015,6,217,KAN,DT,Southern Miss
Brad Nortman,K,2008,788,3,0.8479,Wisconsin,Brookfield,WI,43.0605671,-88.1064787,2012,6,207,CAR,P,Wisconsin
Gavin Escobar,TE,2009,1922,2,0.7667,San Diego State,Rancho Santa Margarita,CA,33.6408845,-117.6029341,2013,2,47,DAL,TE,San Diego State
Max Tuerk,OT,2012,61,4,0.9703,USC,Rancho Santa Margarita,CA,33.6408845,-117.6029341,2016,3,66,SDG,C,USC
Randall Cobb,ATH,2008,852,3,0.8417,Kentucky,Alcoa,TN,35.7895271,-83.9737935,2011,2,64,GNB,WR,Kentucky
Grady Jarrett,DT,2011,1161,3,0.8247,Clemson,Conyers,GA,33.6676103,-84.0176904,2015,5,137,ATL,NT,Clemson
Vincent Valentine,DT,2012,520,3,0.8774,Nebraska,Edwardsville,IL,38.8114364,-89.953157,2016,3,96,NWE,DT,Nebraska
Shaquelle Evans,WR,2009,92,4,0.9575,Notre Dame,Inglewood,CA,33.96185,-118.3550377,2014,4,115,NYJ,WR,UCLA
Latavius Murray,RB,2008,958,3,0.8333,UCF,Nedrow,NY,42.9750662,-76.1413133,2013,6,181,OAK,RB,UCF
Levine Toilolo,TE,2009,210,4,0.9117,Stanford,La Mesa,CA,32.7678288,-117.0230839,2013,4,133,ATL,TE,Stanford
Casey Hayward,ATH,2008,963,3,0.8333,Vanderbilt,Perry,GA,32.4586695,-83.7319658,2012,2,62,GNB,DB,Vanderbilt
Earl Wolff,ATH,2008,980,3,0.8333,N.C. State,Raeford,NC,34.9809996,-79.2241998,2013,5,136,PHI,DB,North Carolina State
Taylor Thompson,TE,2008,998,3,0.8333,SMU,Prosper,TX,33.2385546,-96.7865731,2012,5,145,TEN,TE,SMU
Josh Shaw,CB,2010,22,5,0.9867,Florida,Palmdale,CA,34.5793131,-118.1171108,2015,4,120,CIN,CB,USC
Antone Exum,S,2009,428,3,0.8795,Virginia Tech,Glen Allen,VA,37.6659781,-77.506374,2014,6,182,MIN,DB,Virginia Tech
Darren Waller,S,2011,901,3,0.8397,Georgia Tech,Kennesaw,GA,34.0234337,-84.6154897,2015,6,204,BAL,WR,Georgia Tech
Jordan Todman,RB,2008,1033,3,0.8306,Connecticut,South Dartmouth,MA,41.5917712,-70.9411491,2011,6,183,SDG,RB,Connecticut
Eddie Lacy,RB,2009,128,4,0.94,Alabama,Geismar,LA,30.2043633,-91.0226013,2013,2,61,GNB,RB,Alabama
Eric Reid,S,2010,57,4,0.9719,LSU,Geismar,LA,30.2043633,-91.0226013,2013,1,18,SFO,DB,LSU
Landon Collins,S,2012,7,5,0.9971,Alabama,Geismar,LA,30.2043633,-91.0226013,2015,2,33,NYG,SS,Alabama
Kiko Alonso,ILB,2008,1053,3,0.8292,Oregon,Los Gatos,CA,37.226611,-121.9746797,2013,2,46,BUF,LB,Oregon
Bjoern Werner,SDE,2010,440,3,0.8789,Florida State,Salisbury,CT,41.983426,-73.4212318,2013,1,24,IND,DE,Florida State
Randy Gregory,WDE,2011,1133,3,0.8266,Purdue,Fishers,IN,39.9555928,-86.0138729,2015,2,60,DAL,OLB,Nebraska
Jake Rodgers,TE,2010,1412,3,0.8337,Washington State,Spokane,WA,47.6579425,-117.4212265,2015,7,225,ATL,T,Eastern Washington
Bishop Sankey,RB,2011,230,4,0.9028,Washington,Spokane,WA,47.6579425,-117.4212265,2014,2,54,TEN,RB,Washington
Joe Dahl,OG,2011,1901,2,0.7667,N/A,Spokane,WA,47.6579425,-117.4212265,2016,5,151,DET,G,Washington State
Carl Davis,DT,2010,896,3,0.8559,Iowa,Sterling Heights,MI,42.5803122,-83.0302033,2015,3,90,BAL,DT,Iowa
Josh Kaddu,WDE,2008,1607,2,0.7667,Oregon,Vacaville,CA,38.3565773,-121.9877444,2012,5,155,MIA,LB,Oregon
DeAndre Smelter,ATH,2010,728,3,0.8622,Georgia Tech,Macon,GA,32.8406946,-83.6324022,2015,4,132,SFO,WR,Georgia Tech
Malliciah Goodman,SDE,2009,61,4,0.97,Clemson,Florence,SC,34.1984435,-79.7671658,2013,4,127,ATL,DE,Clemson
Dominique Easley,DT,2010,4,5,0.9978,Florida,Staten Island,NY,40.5834557,-74.1496048,2014,1,29,NWE,DT,Florida
Sean Mannion,PRO,2010,335,4,0.8907,Oregon State,Pleasanton,CA,37.6624312,-121.8746789,2015,3,89,STL,QB,Oregon State
C.J. Wilson,ATH,2008,1343,3,0.8003,N.C. State,Lincolnton,NC,35.473745,-81.2545251,2010,7,230,GNB,DE,East Carolina
Isaiah Frey,S,2008,1369,2,0.7941,Nevada,Carmichael,CA,38.62709845,-121.3222422,2012,6,184,CHI,DB,Nevada
Danny Trevathan,ILB,2008,1406,2,0.7889,Kentucky,Leesburg,FL,28.810823,-81.8778582,2012,6,188,DEN,LB,Kentucky
Calvin Pryor,S,2011,560,3,0.859,Louisville,Port Saint Joe,FL,29.8118757,-85.302974,2014,1,18,NYJ,DB,Louisville
Melvin Gordon,RB,2011,251,4,0.8983,Wisconsin,Kenosha,WI,42.5846773,-87.8212263,2015,1,15,SDG,RB,Wisconsin
Trae Waynes,CB,2011,1174,3,0.8226,Michigan State,Kenosha,WI,42.5846773,-87.8212263,2015,1,11,MIN,CB,Michigan State
Nate Freese,K,2009,1278,3,0.8319,Boston College,Strongsville,OH,41.3144733,-81.83511,2014,7,229,DET,K,Boston College
Tyler Higbee,TE,2011,2162,2,0.7443,Western Kentucky,Tarpon Springs,FL,28.1477885,-82.77740867,2016,4,110,LAR,TE,Western Kentucky
Tevin Coleman,RB,2012,646,3,0.8686,Indiana,Oak Forest,IL,41.6028116,-87.7439384,2015,3,73,ATL,RB,Indiana
Corey Davis,RB,2011,1823,2,0.7667,Pittsburgh,Gladewater,TX,32.5365333,-94.9427169,2017,1,5,TEN,WR,Western Michigan
Ryan Nassib,PRO,2008,1652,2,0.7667,Syracuse,Malvern,PA,40.036202,-75.5138959,2013,4,110,NYG,QB,Syracuse
Jesse James,TE,2012,663,3,0.8674,Penn State,Mckeesport,PA,40.3478472,-79.864215,2015,5,160,PIT,TE,Penn State
Jay Ajayi,RB,2011,669,3,0.8528,Boise State,Frisco,TX,33.1506744,-96.8236116,2015,5,149,MIA,RB,Boise State
Andre Debose,WR,2009,15,5,0.9917,Florida,Sanford,FL,28.8117179,-81.2680328,2015,7,221,OAK,WR,Florida
Jaylen Watkins,CB,2010,39,4,0.9802,Florida,Cape Coral,FL,26.6059432,-81.9806771,2014,4,101,PHI,DB,Florida
Aaron Lynch,SDE,2011,9,5,0.9947,Notre Dame,Cape Coral,FL,26.6059432,-81.9806771,2014,5,150,SFO,DE,South Florida
Bryce Petty,PRO,2010,1086,3,0.8505,Baylor,Midlothian,TX,32.482361,-96.9944489,2015,4,103,NYJ,QB,Baylor
Michael Campanaro,WR,2009,558,3,0.8701,Wake Forest,Clarksville,MD,39.2065447,-76.9429182,2014,7,218,BAL,WR,Wake Forest
Jerome Long,SDE,2008,1889,2,0.7444,San Diego State,Morro Bay,CA,35.3658075,-120.8499013,2012,7,218,KAN,DT,San Diego State
Jimmy Garoppolo,PRO,2010,2034,2,0.7889,N/A,Rolling Meadows,IL,42.0841936,-88.0131275,2014,2,62,NWE,QB,Eastern Illinois
Mike Catapano,FB,2008,1945,2,0.7444,Princeton,Bayville,NJ,39.9016244,-74.2142753,2013,7,207,KAN,DE,Princeton
Darian Thompson,S,2011,1149,3,0.8256,Boise State,Lancaster,CA,34.6981064,-118.1366153,2016,3,71,NYG,S,Boise State
Deon Butler,WR,2010,2288,2,0.7667,Central Michigan,Inkster,MI,42.2942045,-83.3099303,2009,3,91,SEA,WR,Penn State
Braden Wilson,ILB,2008,1990,2,0.7222,Kansas State,Smith Center,KS,39.779179,-98.785075,2013,6,204,KAN,FB,Kansas State
Garrett Grayson,DUAL,2010,952,3,0.8556,Colorado State,Vancouver,WA,45.6306954,-122.6744557,2015,3,75,NOR,QB,Colorado State
Leonard Floyd,OLB,2012,140,4,0.9411,Georgia,Eastman,GA,32.1976729,-83.1776514,2016,1,9,CHI,OLB,Georgia
Matt Barkley,PRO,2009,1,5,0.9993,USC,Newport Beach,CA,33.6170092,-117.9294401,2013,4,98,PHI,QB,USC
Jelani Jenkins,OLB,2009,7,5,0.9971,Florida,Essex,MD,39.3075071,-76.4790355,2013,4,104,MIA,LB,Florida
Nico Johnson,ILB,2009,17,5,0.9905,Alabama,Andalusia,AL,31.3085039,-86.4832033,2013,4,99,KAN,LB,Alabama
Stephon Gilmore,CB,2009,34,4,0.9812,South Carolina,Rock Hill,SC,34.9248667,-81.0250784,2012,1,10,BUF,DB,South Carolina
DeVonte Holloman,S,2009,81,4,0.9621,South Carolina,Rock Hill,SC,34.9248667,-81.0250784,2013,6,185,DAL,LB,South Carolina
Jadeveon Clowney,WDE,2011,1,5,1,South Carolina,Rock Hill,SC,34.9248667,-81.0250784,2014,1,1,HOU,DE,South Carolina
Ronnell Lewis,OLB,2009,37,4,0.9797,Oklahoma,Eufaula,OK,35.2873206,-95.5824846,2012,4,125,DET,LB,Oklahoma
Taylor Lewan,OT,2009,160,4,0.9244,Michigan,Paradise Valley,AZ,33.5428006,-111.9556001,2014,1,11,TEN,T,Michigan
Wes Schweitzer,OT,2011,2536,2,0.7333,San Jose State,Paradise Valley,AZ,33.5428006,-111.9556001,2016,6,195,ATL,G,San Jose State
David Wilson,RB,2009,90,4,0.9585,Virginia Tech,Danville,VA,36.5859718,-79.3950228,2012,1,32,NYG,RB,Virginia Tech
Edwin Baker,RB,2009,95,4,0.9554,Michigan State,Oak Park,MI,42.4594803,-83.1827051,2012,7,250,SDG,RB,Michigan State
Nick Kasa,SDE,2009,103,4,0.9526,Colorado,Broomfield,CO,39.9379892,-105.0587294,2013,6,172,OAK,TE,Colorado
Jarvis Harrison,OG,2010,2278,2,0.7667,Texas A&M,Navasota,TX,30.3874135,-96.0875066,2015,5,152,NYJ,G,Texas A&M
Zach Mettenberger,PRO,2009,122,4,0.9426,Georgia,Watkinsville,GA,33.8628959,-83.4087709,2014,6,178,TEN,QB,LSU
Arthur Lynch,TE,2009,148,4,0.93,Georgia,North Dartmouth,MA,41.6389926,-70.9703171,2014,5,155,MIA,TE,Georgia
Zeke Motta,OLB,2009,149,4,0.9295,Notre Dame,Vero Beach,FL,27.6387163,-80.3975399,2013,7,244,ATL,DB,Notre Dame
Bryan Stork,OC,2009,737,3,0.859,Florida State,Vero Beach,FL,27.6387163,-80.3975399,2014,4,105,NWE,C,Florida State
Jordan Reed,TE,2009,155,4,0.9266,Florida,New London,CT,41.3556539,-72.0995209,2013,3,85,WAS,TE,Florida
Kenny Vaccaro,S,2009,254,4,0.9018,Texas,Brownwood,TX,32.2618398,-98.55528872,2013,1,15,NOR,DB,Texas
Josh Boyd,DT,2009,173,4,0.9209,Mississippi State,Philadelphia,MS,32.7703841,-89.1153488,2013,5,167,GNB,DE,Mississippi State
Brennan Williams,OT,2009,178,4,0.92,North Carolina,West Roxbury,MA,42.2792649,-71.1494972,2013,3,89,HOU,OL,North Carolina
Michael Schofield,OT,2009,225,4,0.9089,Michigan,Orland Park,IL,41.6303103,-87.8539425,2014,3,95,DEN,OL,Michigan
Dan Feeney,OT,2012,957,3,0.8443,Indiana,Orland Park,IL,41.6303103,-87.8539425,2017,3,71,LAC,G,Indiana
Kevin Norwood,WR,2009,240,4,0.9051,Alabama,Biloxi,MS,30.3960318,-88.8853645,2014,4,123,SEA,WR,Alabama
Brandon Allen,PRO,2011,354,3,0.8766,Arkansas,Fayetteville,AR,36.0625843,-94.1574328,2016,6,201,JAX,QB,Arkansas
Logan Ryan,CB,2009,298,4,0.8938,Rutgers,Voorhees,NJ,39.841635,-74.93768541,2013,3,83,NWE,DB,Rutgers
Quinton Dial,DT,2009,322,4,0.8906,Alabama,Scooba,MS,32.8290581,-88.4767398,2013,5,157,SFO,DE,Alabama
Mason Schreck,PRO,2012,2170,2,0.7713,Buffalo,Medina,OH,41.1383878,-81.8637474,2017,7,251,CIN,TE,Buffalo
Shelby Harris,WDE,2009,348,3,0.8875,Wisconsin,Thiensville,WI,43.2375067,-87.9787001,2014,7,235,OAK,DE,Illinois State
Ben Gardner,SDE,2009,2008,2,0.7667,Stanford,Thiensville,WI,43.2375067,-87.9787001,2014,7,231,DAL,DE,Stanford
Cordrea Tankersley,ATH,2012,283,4,0.9051,Clemson,Aiken,SC,33.5598586,-81.721952,2017,3,97,MIA,CB,Clemson
Denzelle Good,OT,2009,357,3,0.8873,N.C. State,Gaffney,SC,35.0717945,-81.6498195,2015,7,255,IND,T,Mars Hill
Aaron Colvin,CB,2010,488,3,0.8764,Oklahoma,Owasso,OK,36.2661536,-95.8549456,2014,4,114,JAX,DB,Oklahoma
Montee Ball,RB,2009,377,3,0.8844,Wisconsin,Wentzville,MO,38.81144,-90.8529107,2013,2,58,DEN,RB,Wisconsin
Clayton Geathers,S,2010,1773,3,0.8111,UCF,Hemingway,SC,33.7537774,-79.4475566,2015,4,109,IND,SS,UCF
Michael Buchanan,WDE,2009,409,3,0.8813,Illinois,Flossmoor,IL,41.5428123,-87.6847684,2013,7,226,NWE,DE,Illinois
Zach Fulton,OG,2010,712,3,0.8639,Tennessee,Flossmoor,IL,41.5428123,-87.6847684,2014,6,193,KAN,G,Tennessee
Reid Fragel,TE,2009,418,3,0.8801,Ohio State,Grosse Pointe,MI,42.3861485,-82.9118591,2013,7,240,CIN,OL,Ohio State
Taylor Hart,DT,2009,420,3,0.8795,Oregon,Tualatin,OR,45.3838546,-122.7663518,2014,5,141,PHI,DE,Oregon
Shawn Williams,S,2009,433,3,0.8795,Georgia,Damascus,GA,31.2990682,-84.7188077,2013,3,84,CIN,DB,Georgia
Dee Ford,WDE,2009,436,3,0.8789,Auburn,Odenville,AL,33.6773237,-86.3966481,2014,1,23,KAN,LB,Auburn
Ronald Darby,CB,2012,25,5,0.9879,Florida State,Oxon Hill,MD,38.8035961,-76.9896573,2015,2,50,BUF,CB,Florida State
Tavon Young,CB,2012,2436,2,0.7632,Temple,Oxon Hill,MD,38.8035961,-76.9896573,2016,4,104,BAL,CB,Temple
Kevin Dodd,DT,2011,936,3,0.8378,Clemson,Greer,SC,34.9381361,-82.2272119,2016,2,33,TEN,DE,Clemson
Jemea Thomas,ATH,2009,515,3,0.8733,Georgia Tech,Fitzgerald,GA,31.7149082,-83.2526545,2014,6,206,NWE,DB,Georgia Tech
Dion Lewis,APB,2009,528,3,0.8733,Pittsburgh,Blairstown,NJ,40.9828753,-74.9604501,2011,5,149,PHI,RB,Pittsburgh
Travis Bond,OT,2009,538,3,0.8715,North Carolina,Windsor,NC,35.9984925,-76.9460641,2013,7,214,MIN,G,North Carolina
Johnthan Banks,S,2009,539,3,0.8715,Mississippi State,Maben,MS,33.5553988,-89.0847849,2013,2,43,TAM,DB,Mississippi State
Keith Wenning,DUAL,2010,1455,3,0.8333,Ball State,Coldwater,OH,40.4797688,-84.628291,2014,6,194,BAL,QB,Ball State
Duron Harmon,ATH,2009,625,3,0.8653,Rutgers,Camden Wyoming,DE,39.117244,-75.556484,2013,3,91,NWE,DB,Rutgers
Hugh Thornton,OT,2009,647,3,0.8639,Illinois,Oberlin,OH,41.2939386,-82.2173786,2013,3,86,IND,G,Illinois
Larry Warford,OG,2009,673,3,0.8622,Kentucky,Richmond,KY,37.7478572,-84.2946539,2013,3,65,DET,G,Kentucky
Justin Pugh,OT,2009,1962,2,0.7667,Syracuse,Southampton,PA,40.1742759,-75.0437814,2013,1,19,NYG,T,Syracuse
Mohamed Sanu,S,2009,719,3,0.8604,Rutgers,Monmouth Junction,NJ,40.3789957,-74.5465436,2012,3,83,CIN,WR,Rutgers
Bennie Logan,DT,2009,728,3,0.859,LSU,Coushatta,LA,32.0148834,-93.3421165,2013,3,67,PHI,DT,LSU
Jordan Mills,OT,2009,826,3,0.8556,Louisiana Tech,Napoleonville,LA,29.9404803,-91.0248214,2013,5,163,CHI,T,Louisiana Tech
Brock Osweiler,PRO,2009,875,3,0.8528,Arizona State,Kalispell,MT,48.2022563,-114.3167117,2012,2,57,DEN,QB,Arizona State
Weston Richburg,OT,2009,2094,2,0.7444,Colorado State,Briscoe,TX,34.4795161,-101.1875029,2014,2,43,NYG,OL,Colorado State
Crockett Gillmore,TE,2010,1424,3,0.8333,Colorado State,Briscoe,TX,34.4795161,-101.1875029,2014,3,99,BAL,TE,Colorado State
Jamison Crowder,WR,2011,1054,3,0.8328,Duke,Monroe,NC,34.9854275,-80.5495112,2015,4,105,WAS,WR,Duke
Christian Ringo,DT,2011,2246,2,0.7333,Louisiana-Lafayette,Jackson,MS,32.2990384,-90.1847691,2015,6,210,GNB,DE,Louisiana-Lafayette
Ronnie Hillman,ATH,2009,985,3,0.8479,San Diego State,La Habra,CA,33.9330156,-117.944777,2012,3,67,DEN,RB,San Diego State
Travis Frederick,OT,2009,994,3,0.8479,Wisconsin,Walworth,WI,42.6711513,-88.5467715,2013,1,31,DAL,C,Wisconsin
Evan Boehm,OG,2012,101,4,0.9539,Missouri,Lees Summit,MO,38.9107156,-94.3821295,2016,4,128,ARI,C,Missouri
Alex Green,APB,2009,1067,3,0.8444,Hawaii,Butte,MT,46.0131505,-112.5365089,2011,3,96,GNB,RB,Hawaii
Justice Cunningham,TE,2009,1072,3,0.8431,South Carolina,Pageland,SC,34.7728831,-80.3921893,2013,7,254,IND,TE,South Carolina
Bobby McCain,ATH,2011,1261,3,0.8162,Memphis,Oxford,AL,33.6149211,-85.8339391,2015,5,145,MIA,CB,Memphis
Kwon Alexander,OLB,2012,91,4,0.9572,LSU,Oxford,AL,33.6149211,-85.8339391,2015,4,124,TAM,OLB,LSU
A.J. Klein,OLB,2009,1263,3,0.8333,Iowa State,Kimberly,WI,44.2722092,-88.3389952,2013,5,148,CAR,LB,Iowa State
Robert Johnson,WR,2010,366,3,0.8875,Mississippi State,Hattiesburg,MS,31.3271189,-89.2903392,2010,5,148,TEN,DB,Utah
David Fales,PRO,2009,1291,3,0.8306,Nevada,Monterey,CA,36.600256,-121.8946388,2014,6,183,CHI,QB,San Jose State
Justin Britt,OT,2009,1328,3,0.8274,Missouri,Lebanon,MO,39.607851,-81.2731699,2014,2,64,SEA,T,Missouri
Jordan Matthews,WR,2010,1283,3,0.8417,Vanderbilt,Madison,AL,34.6992579,-86.7483318,2014,2,42,PHI,WR,Vanderbilt
Reggie Ragland,ILB,2012,40,4,0.9809,Alabama,Madison,AL,34.6992579,-86.7483318,2016,2,41,BUF,ILB,Alabama
Micah Hyde,CB,2009,1368,3,0.8243,Iowa,Fostoria,OH,41.156998,-83.4168702,2013,5,159,GNB,DB,Iowa
Kenny Stills,WR,2010,117,4,0.9447,Oklahoma,Encinitas,CA,33.0369867,-117.2919818,2013,5,144,NOR,WR,Oklahoma
Damontre Moore,WDE,2010,476,3,0.8764,Texas A&M,Rowlett,TX,32.9029017,-96.56388,2013,3,81,NYG,DE,Texas A&M
Aaron Dobson,WR,2009,1531,3,0.8111,Marshall,Charleston,WV,38.3505995,-81.6332812,2013,2,59,NWE,WR,Marshall
Jordan Poyer,CB,2009,1549,3,0.8111,Oregon State,Astoria,OR,46.187885,-123.831256,2013,7,218,PHI,DB,Oregon State
Brian Mihalik,WDE,2011,741,3,0.8488,Boston College,Avon Lake,OH,41.5053178,-82.0282001,2015,7,237,PHI,DE,Boston College
Kevin King,RB,2010,2110,2,0.7865,Central Michigan,Dearborn,MI,42.3222599,-83.1763145,2017,2,33,GNB,CB,Washington
Yawin Smallwood,OLB,2010,1195,3,0.8448,Connecticut,Worcester,MA,42.2625932,-71.8022934,2014,7,253,ATL,LB,Connecticut
Jordan Lucas,S,2012,1274,3,0.8255,Penn State,Worcester,MA,42.2625932,-71.8022934,2016,6,204,MIA,SS,Penn State
Jordan Richards,ATH,2011,366,3,0.8755,Stanford,Folsom,CA,38.6779591,-121.1760583,2015,2,64,NWE,SS,Stanford
Le'Raven Clark,OT,2011,218,4,0.906,Texas Tech,Rockdale,TX,30.6554759,-97.0013744,2016,3,82,IND,T,Texas Tech
Chris Conley,WR,2011,274,4,0.8918,Georgia,Dallas,GA,33.9237141,-84.8407732,2015,3,76,KAN,WR,Georgia
Bernard Pierce,RB,2009,1889,2,0.7667,Temple,Glen Mills,PA,39.919698,-75.4904323,2012,3,84,BAL,RB,Temple
Sheldon Rankins,SDE,2012,798,3,0.8555,Louisville,Covington,GA,33.5967815,-83.8601827,2016,1,12,NOR,DT,Louisville
Eric Fisher,OT,2009,1944,2,0.7667,Central Michigan,Rochester,MI,42.680588,-83.1338214,2013,1,1,KAN,T,Central Michigan
Brian Winters,OT,2009,1931,2,0.7667,Kent State,Hudson,OH,41.240056,-81.440667,2013,3,72,NYJ,G,Kent State
Kennard Backman,TE,2011,1777,2,0.7667,UAB,Mableton,GA,33.811344,-84.56698061,2015,6,213,GNB,TE,UAB
Kyle Murphy,OT,2012,11,5,0.9937,Stanford,San Clemente,CA,33.4270275,-117.6124179,2016,6,200,GNB,T,Stanford
Joshua Garnett,OG,2012,38,4,0.9825,Stanford,Puyallup,WA,47.1849009,-122.2921406,2016,1,28,SFO,G,Stanford
Khairi Fortt,OLB,2010,68,4,0.9675,Penn State,Stamford,CT,41.0534302,-73.5387341,2014,4,126,NOR,LB,California
Shamar Stephen,DT,2009,2228,2,0.7,Connecticut,Glen Head,NY,40.8353776,-73.6237388,2014,7,220,MIN,DT,Connecticut
Dri Archer,APB,2009,2264,2,0.7,Kent State,Venice,FL,27.0998708,-82.4544132,2014,3,97,PIT,WR,Kent State
