Rnd,Pick,Tm,Player,Pos,Age,To,College/Univ
1,1,HOU,Jadeveon Clowney\ClowJa00,DE,21,2017,South Carolina
1,2,STL,Greg Robinson\RobiGr01,T,21,2017,Auburn
1,3,JAX,Blake Bortles\BortBl00,QB,22,2017,Central Florida
1,4,BUF,Sammy Watkins\WatkSa00,WR,21,2017,Clemson
1,5,OAK,Khalil Mack\MackKh00,LB,23,2017,Buffalo
1,6,ATL,Jake Matthews\MattJa00,T,22,2017,Texas A&M
1,7,TAM,Mike Evans\EvanMi00,WR,21,2017,Texas A&M
1,8,CLE,Justin Gilbert\GilbJu00,DB,22,2016,Oklahoma St.
1,9,MIN,Anthony Barr\BarrAn00,LB,22,2017,UCLA
1,10,DET,Eric Ebron\EbroEr00,TE,21,2017,North Carolina
1,11,TEN,Taylor Lewan\LewaTa00,T,23,2017,Michigan
1,12,NYG,Odell Beckham\BeckOd00,WR,21,2017,LSU
1,13,STL,Aaron Donald\DonaAa00,DT,23,2017,Pittsburgh
1,14,CHI,Kyle Fuller\FullKy00,DB,22,2017,Virginia Tech
1,15,PIT,Ryan Shazier\ShazRy00,LB,22,2017,Ohio St.
1,16,DAL,Zack Martin\MartZa00,G,23,2017,Notre Dame
1,17,BAL,C.J. Mosley\MoslC.00,LB,22,2017,Alabama
1,18,NYJ,Calvin Pryor\PryoCa00,DB,22,2017,Louisville
1,19,MIA,Ja'Wuan James\JameJa01,T,22,2017,Tennessee
1,20,NOR,Brandin Cooks\CookBr00,WR,21,2017,Oregon St.
1,21,GNB,Ha Ha Clinton-Dix\ClinHa00,DB,21,2017,Alabama
1,22,CLE,Johnny Manziel\ManzJo00,QB,21,2015,Texas A&M
1,23,KAN,Dee Ford\FordDe00,LB,23,2017,Auburn
1,24,CIN,Darqueze Dennard\DennDa00,DB,22,2017,Michigan St.
1,25,SDG,Jason Verrett\VerrJa00,DB,23,2017,TCU
1,26,PHI,Marcus Smith\SmitMa03,LB,22,2017,Louisville
1,27,ARI,Deone Bucannon\BucaDe00,DB,22,2017,Washington St.
1,28,CAR,Kelvin Benjamin\BenjKe00,WR,23,2017,Florida St.
1,29,NWE,Dominique Easley\EaslDo00,DT,22,2016,Florida
1,30,SFO,Jimmie Ward\WardJi01,DB,23,2017,Northern Illinois
1,31,DEN,Bradley Roby\RobyBr00,DB,22,2017,Ohio St.
1,32,MIN,Teddy Bridgewater\BridTe00,QB,21,2017,Louisville
2,33,HOU,Xavier Su'a-Filo\Sua-Xa00,G,23,2017,UCLA
2,34,DAL,Demarcus Lawrence\LawrDe00,DE,22,2017,Boise St.
2,35,CLE,Joel Bitonio\BitoJo00,G,22,2017,Nevada
2,36,OAK,Derek Carr\CarrDe02,QB,23,2017,Fresno St.
2,37,ATL,Ra'Shede Hageman\HageRa00,DT,24,2016,Minnesota
2,38,TAM,Austin Seferian-Jenkins\SefeAu00,TE,22,2017,Washington
2,39,JAX,Marqise Lee\LeexMa00,WR,22,2017,USC
2,40,DET,Kyle Van Noy\VanNKy00,LB,23,2017,BYU
2,41,STL,Lamarcus Joyner\JoynLa00,DB,23,2017,Florida St.
2,42,PHI,Jordan Matthews\MattJo00,WR,22,2017,Vanderbilt
2,43,NYG,Weston Richburg\RichWe00,OL,22,2017,Colorado St.
2,44,BUF,Cyrus Kouandjio\KouaCy00,T,21,2017,Alabama
2,45,SEA,Paul Richardson\RichPa01,WR,22,2017,Colorado
2,46,PIT,Stephon Tuitt\TuitSt00,DE,21,2017,Notre Dame
2,47,WAS,Trent Murphy\MurpTr00,LB,23,2016,Stanford
2,48,BAL,Timmy Jernigan\JernTi00,DT,22,2017,Florida St.
2,49,NYJ,Jace Amaro\AmarJa00,TE,22,2016,Texas Tech
2,50,SDG,Jeremiah Attaochu\AttaJe00,LB,21,2017,Georgia Tech
2,51,CHI,Ego Ferguson\FergEg00,DT,23,2015,LSU
2,52,ARI,Troy Niklas\NiklTr00,TE,22,2017,Notre Dame
2,53,GNB,Davante Adams\AdamDa01,WR,21,2017,Fresno St.
2,54,TEN,Bishop Sankey\SankBi00,RB,22,2015,Washington
2,55,CIN,Jeremy Hill\HillJe01,RB,21,2017,LSU
2,56,DEN,Cody Latimer\LatiCo00,WR,22,2017,Indiana
2,57,SFO,Carlos Hyde\HydeCa00,RB,24,2017,Ohio St.
2,58,NOR,Stanley Jean-Baptiste\JeanSt00,DB,24,2017,Nebraska
2,59,IND,Jack Mewhort\MewhJa00,T,23,2017,Ohio St.
2,60,CAR,Kony Ealy\EalyKo00,DE,22,2017,Missouri
2,61,JAX,Allen Robinson\RobiAl02,WR,21,2017,Penn St.
2,62,NWE,Jimmy Garoppolo\GaroJi00,QB,22,2017,East. Illinois
2,63,MIA,Jarvis Landry\LandJa00,WR,21,2017,LSU
2,64,SEA,Justin Britt\BritJu00,T,23,2017,Missouri
3,65,HOU,C.J. Fiedorowicz\FiedC.00,TE,22,2017,Iowa
3,66,WAS,Morgan Moses\MoseMo00,OL,23,2017,Virginia
3,67,MIA,Billy Turner\TurnBi00,T,22,2017,North Dakota St.
3,68,ATL,Dezmen Southward\SoutDe00,DB,23,2017,Wisconsin
3,69,TAM,Charles Sims\SimsCh00,RB,24,2017,West Virginia
3,70,SFO,Marcus Martin\MartMa01,C,20,2016,USC
3,71,CLE,Christian Kirksey\KirkCh00,LB,22,2017,Iowa
3,72,MIN,Scott Crichton\CricSc00,DE,22,2015,Oregon St.
3,73,BUF,Preston Brown\BrowPr00,LB,21,2017,Louisville
3,74,NYG,Jay Bromley\BromJa00,DT,22,2017,Syracuse
3,75,STL,Tre Mason\MasoTr00,RB,21,2015,Auburn
3,76,DET,Travis Swanson\SwanTr00,C,23,2017,Arkansas
3,77,SFO,Chris Borland\BorlCh00,LB,23,2014,Wisconsin
3,78,WAS,Spencer Long\LongSp00,G,23,2017,Nebraska
3,79,BAL,Terrence Brooks\BrooTe00,DB,23,2017,Florida St.
3,80,NYJ,Dexter McDougle\McDoDe00,DB,23,2017,Maryland
3,81,OAK,Gabe Jackson\JackGa00,G,23,2017,Mississippi St.
3,82,CHI,Will Sutton\SuttWi00,DT,22,2016,Arizona St.
3,83,HOU,Louis Nix\NixILo00,DT,23,2015,Notre Dame
3,84,ARI,Kareem Martin\MartKa00,DE,22,2017,North Carolina
3,85,GNB,Khyri Thornton\ThorKh00,DT,24,2017,Southern Miss
3,86,PHI,Josh Huff\HuffJo00,WR,22,2016,Oregon
3,87,KAN,Phillip Gaines\GainPh00,DB,23,2017,Rice
3,88,CIN,Will Clarke\ClarWi00,DE,23,2017,West Virginia
3,89,SDG,Chris Watt\WattCh00,G,24,2015,Notre Dame
